id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance,business_hours,attributes
jPIZ3FR5LNcwPuUHi2Fe4g,mcdonalds-new-york-386,McDonald's,https://s3-media3.fl.yelpcdn.com/bphoto/vB0s11yIom0GaSU0z2jRig/o.jpg,False,https://www.yelp.com/biz/mcdonalds-new-york-386?adjust_creative=mpeREilc5wlDx-qcuxWJww&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=mpeREilc5wlDx-qcuxWJww,150,"[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",2.6,"{'latitude': 40.709482, 'longitude': -74.010037}",['delivery'],$,"{'address1': '160 Broadway', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10038', 'country': 'US', 'state': 'NY', 'display_address': ['160 Broadway', 'New York, NY 10038']}",+12123852066,(212) 385-2066,1400.9326436993163,"[{'open': [{'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 0}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 1}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 2}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 3}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 4}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 5}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]","{'business_temp_closed': None, 'menu_url': 'https://www.mcdonalds.com/us/en-us/full-menu.html?cid=PS:GCM_MOP:NB::Yelp:All', 'open24_hours': None, 'waitlist_reservation': None}"
YV0VaJgV2zotzI7XNUaMCQ,mcdonalds-new-york-100,McDonald's,https://s3-media3.fl.yelpcdn.com/bphoto/nu1t2OGqbNOHbZs1ZiwyAQ/o.jpg,False,https://www.yelp.com/biz/mcdonalds-new-york-100?adjust_creative=mpeREilc5wlDx-qcuxWJww&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=mpeREilc5wlDx-qcuxWJww,101,"[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",2.7,"{'latitude': 40.71852, 'longitude': -74.00115}",['delivery'],$,"{'address1': '262 Canal St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10013', 'country': 'US', 'state': 'NY', 'display_address': ['262 Canal St', 'New York, NY 10013']}",+12129415823,(212) 941-5823,1565.8220905266912,"[{'open': [{'is_overnight': False, 'start': '0700', 'end': '0000', 'day': 0}, {'is_overnight': False, 'start': '0700', 'end': '0000', 'day': 1}, {'is_overnight': False, 'start': '0700', 'end': '0000', 'day': 2}, {'is_overnight': False, 'start': '0700', 'end': '0000', 'day': 3}, {'is_overnight': False, 'start': '0700', 'end': '0000', 'day': 4}, {'is_overnight': False, 'start': '0700', 'end': '0000', 'day': 5}, {'is_overnight': False, 'start': '0700', 'end': '0000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]","{'business_temp_closed': None, 'menu_url': 'https://www.mcdonalds.com/us/en-us/full-menu.html', 'open24_hours': None, 'waitlist_reservation': None}"
0l-l2j5NAIqtychRNs17Dw,mcdonalds-new-york-137,McDonald's,https://s3-media1.fl.yelpcdn.com/bphoto/cfn5s_pS5Qw9qb-K-Um7dg/o.jpg,False,https://www.yelp.com/biz/mcdonalds-new-york-137?adjust_creative=mpeREilc5wlDx-qcuxWJww&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=mpeREilc5wlDx-qcuxWJww,126,"[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",2.1,"{'latitude': 40.71894, 'longitude': -73.98829}",['delivery'],$,"{'address1': '114 Delancey St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10002', 'country': 'US', 'state': 'NY', 'display_address': ['114 Delancey St', 'New York, NY 10002']}",+12125299770,(212) 529-9770,1573.1524499933482,"[{'open': [{'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 0}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 1}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 2}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 3}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 4}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 5}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]","{'business_temp_closed': None, 'menu_url': 'https://www.mcdonalds.com/us/en-us/full-menu.html?cid=PS:GCM_MOP:NB::Yelp:All', 'open24_hours': None, 'waitlist_reservation': None}"
B_HkncKcyD0ZL3LsHmnzqg,mcdonalds-brooklyn-37,McDonald's,https://s3-media2.fl.yelpcdn.com/bphoto/VITXFdOrfxLgBlGWojByZg/o.jpg,False,https://www.yelp.com/biz/mcdonalds-brooklyn-37?adjust_creative=mpeREilc5wlDx-qcuxWJww&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=mpeREilc5wlDx-qcuxWJww,68,"[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",2.0,"{'latitude': 40.691383, 'longitude': -73.99172380291995}",['delivery'],$,"{'address1': '82 Court St', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11201', 'country': 'US', 'state': 'NY', 'display_address': ['82 Court St', 'Brooklyn, NY 11201']}",,,1578.5384109724582,"[{'open': [{'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 0}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 1}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 2}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 3}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 4}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 5}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]","{'business_temp_closed': None, 'menu_url': 'https://www.mcdonalds.com/us/en-us/full-menu.html?cid=PS:GCM_MOP:NB::Yelp:All', 'open24_hours': None, 'waitlist_reservation': None}"
in7QM4vNUTHVZIi7Outetg,mcdonalds-new-york-430,McDonald's,https://s3-media4.fl.yelpcdn.com/bphoto/8Zq9B2Dhl14SJoXMsi8hXA/o.jpg,False,https://www.yelp.com/biz/mcdonalds-new-york-430?adjust_creative=mpeREilc5wlDx-qcuxWJww&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=mpeREilc5wlDx-qcuxWJww,124,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",1.7,"{'latitude': 40.7163213865248, 'longitude': -74.0106988300204}",['delivery'],$,"{'address1': '167 Chambers St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10007', 'country': 'US', 'state': 'NY', 'display_address': ['167 Chambers St', 'New York, NY 10007']}",+12126082405,(212) 608-2405,1837.0499087766198,"[{'open': [{'is_overnight': False, 'start': '0600', 'end': '0000', 'day': 0}, {'is_overnight': False, 'start': '0600', 'end': '0000', 'day': 1}, {'is_overnight': False, 'start': '0600', 'end': '0000', 'day': 2}, {'is_overnight': False, 'start': '0600', 'end': '0000', 'day': 3}, {'is_overnight': False, 'start': '0600', 'end': '0000', 'day': 4}, {'is_overnight': False, 'start': '0600', 'end': '0000', 'day': 5}, {'is_overnight': False, 'start': '0600', 'end': '0000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]","{'business_temp_closed': None, 'menu_url': 'https://www.mcdonalds.com/us/en-us/full-menu.html?cid=PS:GCM_MOP:NB::Yelp:All', 'open24_hours': None, 'waitlist_reservation': None}"
PGbKlytumI2WaIefhtCALw,mcdonalds-brooklyn-45,McDonald's,https://s3-media3.fl.yelpcdn.com/bphoto/t88E5a2w0tWRVJUzHIIufw/o.jpg,False,https://www.yelp.com/biz/mcdonalds-brooklyn-45?adjust_creative=mpeREilc5wlDx-qcuxWJww&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=mpeREilc5wlDx-qcuxWJww,54,"[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",1.8,"{'latitude': 40.688963, 'longitude': -73.98067}",['delivery'],$,"{'address1': '395 Flatbush Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11201', 'country': 'US', 'state': 'NY', 'display_address': ['395 Flatbush Ave', 'Brooklyn, NY 11201']}",+17185224988,(718) 522-4988,2162.8262473517616,"[{'open': [{'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 0}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 1}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 2}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 3}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 4}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 5}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]","{'business_temp_closed': None, 'menu_url': 'https://www.mcdonalds.com/us/en-us/full-menu.html?cid=PS:GCM_MOP:NB::Yelp:All', 'open24_hours': None, 'waitlist_reservation': None}"
Um1WimKhVLw3KB-OzRYfyQ,mcdonalds-new-york-112,McDonald's,https://s3-media2.fl.yelpcdn.com/bphoto/CHbBHWysmfWnS5fmbRJ9SA/o.jpg,False,https://www.yelp.com/biz/mcdonalds-new-york-112?adjust_creative=mpeREilc5wlDx-qcuxWJww&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=mpeREilc5wlDx-qcuxWJww,57,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",2.0,"{'latitude': 40.7265241132955, 'longitude': -73.9857636738725}",['delivery'],$,"{'address1': '102 1st Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10003', 'country': 'US', 'state': 'NY', 'display_address': ['102 1st Ave', 'New York, NY 10003']}",+12124779171,(212) 477-9171,2451.664504683345,"[{'open': [{'is_overnight': False, 'start': '0700', 'end': '0000', 'day': 0}, {'is_overnight': False, 'start': '0700', 'end': '0000', 'day': 1}, {'is_overnight': False, 'start': '0700', 'end': '0000', 'day': 2}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 3}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 4}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 5}, {'is_overnight': False, 'start': '0500', 'end': '0000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]","{'business_temp_closed': None, 'menu_url': 'https://www.mcdonalds.com/us/en-us/full-menu.html?cid=PS:GCM_MOP:NB::Yelp:All', 'open24_hours': None, 'waitlist_reservation': None}"
0Ao9422D82WgsiUbr_t_Qg,mcdonalds-new-york-104,McDonald's,https://s3-media4.fl.yelpcdn.com/bphoto/mS9Z_NpU4jthqueZp8wcVw/o.jpg,False,https://www.yelp.com/biz/mcdonalds-new-york-104?adjust_creative=mpeREilc5wlDx-qcuxWJww&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=mpeREilc5wlDx-qcuxWJww,70,"[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",2.0,"{'latitude': 40.729197, 'longitude': -73.993408}",['delivery'],$,"{'address1': '724 Broadway', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10003', 'country': 'US', 'state': 'NY', 'display_address': ['724 Broadway', 'New York, NY 10003']}",+12125299660,(212) 529-9660,2642.167523185924,"[{'open': [{'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 0}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 1}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 2}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 3}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 4}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 5}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]","{'business_temp_closed': None, 'menu_url': 'https://www.mcdonalds.com/us/en-us/full-menu.html?cid=PS:GCM_MOP:NB::Yelp:All', 'open24_hours': None, 'waitlist_reservation': None}"
oXVZ9OqrC55fp-3hDBvRCQ,mcdonalds-brooklyn-12,McDonald's,https://s3-media3.fl.yelpcdn.com/bphoto/ZB4cwzewWGsQEIRgEqiyUA/o.jpg,False,https://www.yelp.com/biz/mcdonalds-brooklyn-12?adjust_creative=mpeREilc5wlDx-qcuxWJww&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=mpeREilc5wlDx-qcuxWJww,62,"[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",1.7,"{'latitude': 40.6847998, 'longitude': -73.977122}",['delivery'],$,"{'address1': '139 Flatbush Ave', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11217', 'country': 'US', 'state': 'NY', 'display_address': ['139 Flatbush Ave', 'Brooklyn, NY 11217']}",+17182300176,(718) 230-0176,2713.959843518525,"[{'open': [{'is_overnight': False, 'start': '0700', 'end': '2200', 'day': 0}, {'is_overnight': False, 'start': '0700', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '0700', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '0700', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '0700', 'end': '2300', 'day': 4}, {'is_overnight': False, 'start': '0700', 'end': '2300', 'day': 5}, {'is_overnight': False, 'start': '0800', 'end': '2000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]","{'business_temp_closed': None, 'menu_url': 'https://www.mcdonalds.com/us/en-us/full-menu.html?cid=PS:GCM_MOP:NB::Yelp:All', 'open24_hours': None, 'waitlist_reservation': None}"
hcVN7B1tw4jvRTiORTFKjA,mcdonalds-new-york-389,McDonald's,https://s3-media3.fl.yelpcdn.com/bphoto/cAC-Zoq79vXcO-XFM8MCGA/o.jpg,False,https://www.yelp.com/biz/mcdonalds-new-york-389?adjust_creative=mpeREilc5wlDx-qcuxWJww&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=mpeREilc5wlDx-qcuxWJww,36,"[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",1.7,"{'latitude': 40.728794, 'longitude': -74.00509}","['delivery', 'pickup']",$,"{'address1': '208 Varick St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10014', 'country': 'US', 'state': 'NY', 'display_address': ['208 Varick St', 'New York, NY 10014']}",,,2751.1416974228155,"[{'open': [{'is_overnight': False, 'start': '0600', 'end': '0000', 'day': 0}, {'is_overnight': False, 'start': '0600', 'end': '0000', 'day': 1}, {'is_overnight': True, 'start': '0600', 'end': '0400', 'day': 2}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 3}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 4}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 5}, {'is_overnight': False, 'start': '0400', 'end': '0000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]","{'business_temp_closed': None, 'menu_url': 'https://www.mcdonalds.com/us/en-us/full-menu.html?cid=PS:GCM_MOP:NB::Yelp:All', 'open24_hours': None, 'waitlist_reservation': None}"
LR6nRVRoP0g_wqqlIE8Ynw,mcdonalds-brooklyn-10,McDonald's,https://s3-media1.fl.yelpcdn.com/bphoto/po46U_X-Xunnv3oPdL-_Aw/o.jpg,False,https://www.yelp.com/biz/mcdonalds-brooklyn-10?adjust_creative=mpeREilc5wlDx-qcuxWJww&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=mpeREilc5wlDx-qcuxWJww,26,"[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",1.8,"{'latitude': 40.7089793, 'longitude': -73.959028}",['delivery'],$,"{'address1': '267 Broadway', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11211', 'country': 'US', 'state': 'NY', 'display_address': ['267 Broadway', 'Brooklyn, NY 11211']}",+17183023177,(718) 302-3177,2998.4246661444104,"[{'open': [{'is_overnight': False, 'start': '0600', 'end': '0000', 'day': 0}, {'is_overnight': False, 'start': '0600', 'end': '0000', 'day': 1}, {'is_overnight': False, 'start': '0600', 'end': '0000', 'day': 2}, {'is_overnight': False, 'start': '0600', 'end': '0000', 'day': 3}, {'is_overnight': False, 'start': '0600', 'end': '0000', 'day': 4}, {'is_overnight': False, 'start': '0600', 'end': '0000', 'day': 5}, {'is_overnight': False, 'start': '0600', 'end': '0000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]","{'business_temp_closed': None, 'menu_url': 'https://www.mcdonalds.com/us/en-us/full-menu.html?cid=PS:GCM_MOP:NB::Yelp:All', 'open24_hours': None, 'waitlist_reservation': None}"
EW7kFuXTsXRQ4Kp7j6qxHw,mcdonalds-new-york-395,McDonald's,https://s3-media3.fl.yelpcdn.com/bphoto/ClSRqRAfSkruL9rGD1raDg/o.jpg,False,https://www.yelp.com/biz/mcdonalds-new-york-395?adjust_creative=mpeREilc5wlDx-qcuxWJww&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=mpeREilc5wlDx-qcuxWJww,59,"[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",1.6,"{'latitude': 40.73104, 'longitude': -73.98226}",['delivery'],$,"{'address1': '404 E 14th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10009', 'country': 'US', 'state': 'NY', 'display_address': ['404 E 14th St', 'New York, NY 10009']}",+12125980045,(212) 598-0045,3011.1469016190763,"[{'open': [{'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 0}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 1}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 2}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 3}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 4}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 5}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]","{'business_temp_closed': None, 'menu_url': 'https://www.mcdonalds.com/us/en-us/full-menu.html?cid=PS:GCM_MOP:NB::Yelp:All', 'open24_hours': None, 'waitlist_reservation': None}"
